date,total_return_index,equity_return_percent,unit_nav
2012-06-05,80.11697309643189,0.1283,2.341
2012-06-06,80.08276314891972,-0.0427,2.34
2012-06-07,79.67209873949206,-0.5128,2.328
2012-06-08,79.29564807294796,-0.4725,2.317
2012-06-11,80.28811240422897,1.2516,2.346
2012-06-12,79.74054747763212,-0.682,2.33
2012-06-13,80.86991285155781,1.4163,2.363
2012-06-14,80.39075861791234,-0.5925,2.349
2012-06-15,80.83564107610385,0.5534,2.362
2012-06-18,81.14362486860382,0.381,2.371
2012-06-19,80.66447176375472,-0.5905,2.357
2012-06-20,80.56178589119946,-0.1273,2.354
2012-06-21,79.43239021479074,-1.4019,2.321
2012-06-25,78.2345497703517,-1.508,2.286
2012-06-26,78.33719349965041,0.1312,2.289
2012-06-27,78.16610506904718,-0.2184,2.284
2012-06-28,77.44744589904235,-0.9194,2.263
2012-06-29,78.50839846041332,1.3699,2.294
2012-06-30,78.50839846041332,0.0,2.294
2012-07-02,78.54262812214206,0.0436,2.295
2012-07-03,78.67952792295895,0.1743,2.299
2012-07-04,78.5768511390195,-0.1305,2.296
2012-07-05,77.72122780696671,-1.0889,2.271
2012-07-06,78.54258574243073,1.0568,2.295
2012-07-09,76.76296783467873,-2.2658,2.243
2012-07-10,76.55762689572097,-0.2675,2.237
2012-07-11,76.93406074716724,0.4917,2.248
2012-07-12,77.27626344937063,0.4448,2.258
2012-07-13,77.27626344937063,0.0,2.258
2012-07-16,75.90731444236503,-1.7715,2.218
2012-07-17,76.35220721231173,0.5861,2.231
2012-07-18,76.59180043854397,0.3138,2.238
2012-07-19,77.27630135906324,0.8937,2.258
2012-07-20,76.76295488913499,-0.6643,2.243
2012-07-23,75.80472292325392,-1.2483,2.215
2012-07-24,76.01007791765302,0.2709,2.221
2012-07-25,75.66788054686775,-0.4502,2.211
2012-07-26,75.29143284114708,-0.4975,2.2
2012-07-27,75.3941303555424,0.1364,2.203
2012-07-30,74.8465427867701,-0.7263,2.187
2012-07-31,74.74385333006666,-0.1372,2.184
2012-08-01,75.39412485403822,0.87,2.203
2012-08-02,74.94922412327455,-0.5901,2.19
2012-08-03,75.63366043796829,0.9132,2.21
2012-08-06,76.42077994214623,1.0407,2.233
2012-08-07,76.48925296097438,0.0896,2.235
2012-08-08,76.62616872377453,0.179,2.239
2012-08-09,77.10531215680429,0.6253,2.253
2012-08-10,76.89998071053073,-0.2663,2.247
2012-08-13,75.77062759381587,-1.4686,2.214
2012-08-14,76.01021431826753,0.3162,2.221
2012-08-15,75.1546433459011,-1.1256,2.196
2012-08-16,74.8466596174696,-0.4098,2.187
2012-08-17,74.91506946435997,0.0914,2.189
2012-08-20,74.57285742704677,-0.4568,2.179
2012-08-21,75.01775909445652,0.5966,2.192
2012-08-22,74.60711188117347,-0.5474,2.18
2012-08-23,74.81243065307046,0.2752,2.186
2012-08-24,74.09370763178642,-0.9607,2.165
2012-08-27,72.79321487543329,-1.7552,2.127
2012-08-28,73.3407654377263,0.7522,2.143
2012-08-29,72.5878491397426,-1.0266,2.121
2012-08-30,72.5878491397426,0.0,2.121
2012-08-31,72.41675957932023,-0.2357,2.116
2012-09-03,72.86168815017557,0.6144,2.129
2012-09-04,72.27988757029641,-0.7985,2.112
2012-09-05,72.04035202288844,-0.3314,2.105
2012-09-06,72.4852732369818,0.6176,2.118
