date,us_oneq_spy_z252,china_510300_510210_z252,gold_cny,money511990_cny,sp500,spy_tr,nasdaq,oneq_tr,shanghai_composite,etf510210_cny,csi300,etf510300_cny,gross
2024-12-24,2.4699679674,1.1492374626,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2024-12-30,2.1948969051,0.9995995737,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2024-12-31,2.0861336317,1.0417701185,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-01-03,1.8078679881,0.8475652058,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-01-06,2.0279528838,1.0081180709,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-01-07,2.5011940502,0.9820424083,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-01-08,1.8885303227,1.0893637007,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-01-09,1.8073660511,0.8803442916,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-01-10,1.7886318781,1.0701925844,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-01-17,1.1137297299,0.9960687740,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-01-20,1.4585188755,1.0252331718,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-01-28,0.3339173227,0.9092126336,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-02-06,0.7972084778,1.0135533826,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-02-11,0.8270486942,0.9763169810,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-02-17,1.2168055938,1.1276615848,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-02-21,1.0295442514,0.9575375143,0.8118148984,0.0000000000,0.0000000000,0.0817907215,0.0000000000,0.0881697293,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-02-24,0.6747935642,1.1548757255,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0141858203,0.0000000000,0.0040388304,1.0000000000
2025-02-27,-0.1025829909,0.9518374493,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-03-04,-1.2042412850,0.8362557652,0.8118148984,0.0000000000,0.0000000000,-0.0031895039,0.0000000000,0.1731499547,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0031895039
2025-03-05,-0.6502300534,0.7253442760,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-03-07,-1.0101944851,0.8211934841,0.8118148984,0.0000000000,0.0000000000,-0.0031895039,0.0000000000,0.1731499547,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0031895039
2025-03-10,-0.9650942318,0.7147036150,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-03-11,-1.6811356249,0.5660651345,0.8118148984,0.0000000000,0.0000000000,-0.0031895039,0.0000000000,0.1731499547,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0031895039
2025-03-13,-0.9480825064,0.5378641326,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-03-14,-1.2522046753,0.5161007917,0.8118148984,0.0000000000,0.0000000000,-0.0031895039,0.0000000000,0.1731499547,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0031895039
2025-03-17,-0.9436082936,0.7498445009,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-03-18,-1.1402738403,0.4827575620,0.8118148984,0.0000000000,0.0000000000,-0.0031895039,0.0000000000,0.1731499547,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0031895039
2025-03-25,-0.8745060002,0.3251880542,0.8118148984,0.0000000000,0.0000000000,0.0393006088,0.0000000000,0.1306598420,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0000000000
2025-03-27,-1.1983595141,0.0341282262,0.8118148984,0.0000000000,0.0000000000,-0.0031895039,0.0000000000,0.1731499547,0.0000000000,0.0096296577,0.0000000000,0.0085949931,1.0031895039
2025-04-25,-1.2077479441,-0.8467865850,0.5280987650,0.3000400127,0.0000000000,-0.0294269490,0.0000000000,0.1956623167,0.0000000000,0.0029726251,0.0000000000,0.0026532295,1.0294269490
2025-04-28,-0.9161392949,-0.7282983794,0.3749010376,0.4713946578,0.0000000000,0.0000000000,0.0000000000,0.1537043047,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2025-04-29,-1.0039263601,-0.7492310666,0.3749010376,0.4713946578,0.0000000000,-0.0384260762,0.0000000000,0.1921303808,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0384260762
2025-05-02,-0.7293076273,-0.8629100974,0.3749010376,0.4713946578,0.0000000000,0.0000000000,0.0000000000,0.1537043047,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2025-06-24,0.7229247797,-2.1914877459,0.4813970043,0.4427402201,0.0000000000,0.0000000000,0.0000000000,0.0758627756,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2025-06-26,1.0523256855,-1.8858368767,0.4813970043,0.4427402201,0.0000000000,0.0189656939,0.0000000000,0.0568970817,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2025-07-02,0.8186775739,-2.0133534560,0.4813970043,0.4427402201,0.0000000000,0.0000000000,0.0000000000,0.0758627756,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2025-07-03,1.0476343608,-1.9866937600,0.4813970043,0.4427402201,0.0000000000,0.0189656939,0.0000000000,0.0568970817,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
2025-07-18,1.6178055609,-1.5718951421,0.6015028473,0.0000000000,0.0000000000,0.0864946083,0.0000000000,0.2219269398,0.0000000000,0.0314111855,0.0000000000,0.0586644190,1.0000000000
2025-08-25,1.3260817665,-0.9666788406,0.6015028473,0.0000000000,0.0000000000,0.0864946083,0.0000000000,0.2219269398,0.0000000000,0.0539300867,0.0000000000,0.0361455179,1.0000000000
2025-09-24,1.8315632520,1.0107059047,0.6015028473,0.0000000000,0.0000000000,0.0864946083,0.0000000000,0.2219269398,0.0000000000,0.0764489878,0.0000000000,0.0136266167,1.0000000000
2025-10-13,1.5524644850,0.9797127620,0.6015028473,0.0000000000,0.0000000000,0.0864946083,0.0000000000,0.2219269398,0.0000000000,0.0539300867,0.0000000000,0.0361455179,1.0000000000
2025-10-27,1.6887911257,0.9075219779,0.7821938363,0.0000000000,0.0000000000,0.0559219640,0.0000000000,0.1304100066,0.0000000000,0.0189408268,0.0000000000,0.0125333663,1.0000000000
2025-10-30,2.2255161268,1.0053592453,0.7821938363,0.0000000000,0.0000000000,0.0559219640,0.0000000000,0.1304100066,0.0000000000,0.0268093750,0.0000000000,0.0046648180,1.0000000000
2025-10-31,2.0516134458,0.9576128413,0.7821938363,0.0000000000,0.0000000000,0.0559219640,0.0000000000,0.1304100066,0.0000000000,0.0189408268,0.0000000000,0.0125333663,1.0000000000
2025-11-21,0.9747162334,0.1438710340,0.7821938363,0.0000000000,0.0000000000,0.0093389714,0.0000000000,0.1769929992,0.0000000000,0.0189408268,0.0000000000,0.0125333663,1.0000000000
2025-11-25,1.3208127327,0.0942999583,0.7821938363,0.0000000000,0.0000000000,0.0559219640,0.0000000000,0.1304100066,0.0000000000,0.0189408268,0.0000000000,0.0125333663,1.0000000000
2025-12-09,1.4791139652,0.8701114265,0.6373005552,0.1504680594,0.0000000000,0.0664992570,0.0000000000,0.1214059585,0.0000000000,0.0148663662,0.0000000000,0.0094598037,1.0000000000
2025-12-16,0.9109251294,0.8124304008,0.6373005552,0.1504680594,0.0000000000,0.0195229532,0.0000000000,0.1683822624,0.0000000000,0.0148663662,0.0000000000,0.0094598037,1.0000000000
2025-12-17,1.0777217975,0.6682536391,0.6373005552,0.1504680594,0.0000000000,0.0664992570,0.0000000000,0.1214059585,0.0000000000,0.0148663662,0.0000000000,0.0094598037,1.0000000000
2025-12-18,0.8315748749,1.0279112199,0.6373005552,0.1504680594,0.0000000000,0.0195229532,0.0000000000,0.1683822624,0.0000000000,0.0209479087,0.0000000000,0.0033782612,1.0000000000
2025-12-19,1.0227386537,0.6130147925,0.6373005552,0.1504680594,0.0000000000,0.0664992570,0.0000000000,0.1214059585,0.0000000000,0.0148663662,0.0000000000,0.0094598037,1.0000000000
2025-12-30,0.9843168252,0.4607969561,0.6373005552,0.1504680594,0.0000000000,0.0195229532,0.0000000000,0.1683822624,0.0000000000,0.0148663662,0.0000000000,0.0094598037,1.0000000000
2026-01-06,0.8608272468,0.6726536444,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.2512249514,0.0000000000,0.0025542540,1.0000000000
2026-01-08,1.0241079648,0.4925307211,0.3582392661,0.2111807429,0.0000000000,0.0494716147,0.0000000000,0.1273291709,0.0000000000,0.2512249514,0.0000000000,0.0025542540,1.0000000000
2026-01-09,0.8970076886,0.1625094379,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.2512249514,0.0000000000,0.0025542540,1.0000000000
2026-01-26,0.8818464950,-1.0270311352,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.1877801500,0.0000000000,0.0659990554,1.0000000000
2026-01-28,1.0013191604,-1.0921565624,0.3582392661,0.2111807429,0.0000000000,0.0494716147,0.0000000000,0.1273291709,0.0000000000,0.1877801500,0.0000000000,0.0659990554,1.0000000000
2026-01-30,0.8641062608,-0.9178178894,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.2512249514,0.0000000000,0.0025542540,1.0000000000
2026-02-12,0.1513705616,-1.0493553923,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.1877801500,0.0000000000,0.0659990554,1.0000000000
2026-02-13,-0.0057327397,-0.9976245696,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.2512249514,0.0000000000,0.0025542540,1.0000000000
2026-02-27,-0.0469415286,-1.0088999277,0.3582392661,0.2111807429,0.0000000000,0.0052714183,0.0000000000,0.1715293673,0.0000000000,0.1877801500,0.0000000000,0.0659990554,1.0000000000
