date,per_hundred_income,total_return_index
2015-01-12,1.0971000000,108.161590307254
2015-01-13,1.1100000000,108.187653897550
2015-01-14,1.1101000000,108.211568322830
2015-01-15,1.3119000000,108.221438118866
2015-01-17,2.1695000000,108.266562109508
2015-01-18,1.5734000000,108.283596770390
2015-01-19,1.0296000000,108.291499240959
2015-01-20,1.0212000000,108.315553190597
2015-01-21,1.1159000000,108.327640123178
2015-01-22,1.0252000000,108.348496441860
2015-01-24,2.0216000000,108.381227146486
2015-01-25,1.3887000000,108.396278047500
2015-01-26,0.9911000000,108.379939062441
2015-01-27,1.2689000000,108.403439224058
2015-01-28,1.0472000000,108.395285259583
2015-01-29,1.0747000000,108.410184467440
2015-01-31,2.1606000000,108.410844619307
2015-02-01,1.0801000000,108.422554074634
2015-02-02,1.6460000000,108.415455291649
2015-02-03,1.8000000000,108.452323096718
2015-02-04,1.0926000000,108.478275021078
2015-02-05,1.3093000000,108.502245123036
2015-02-07,2.1638000000,108.532230089407
2015-02-08,1.0915000000,108.544076382322
2015-02-09,1.0878000000,108.524408679710
2015-02-10,1.0865000000,108.302822994090
2015-02-11,1.1054000000,108.559055889956
2015-02-12,1.1003000000,108.581860279340
2015-02-14,2.1989000000,108.706725829943
2015-02-15,1.3249000000,108.721128384048
2015-02-16,1.0936000000,108.772125899768
2015-02-23,7.5771000000,108.830624941677
2015-02-24,2.7482000000,108.860533774024
2015-02-25,1.6658000000,108.774263572279
2015-02-26,1.1056000000,108.803699192057
2015-02-28,2.3913000000,108.831892058151
2015-03-01,1.0860000000,108.843711201629
2015-03-02,1.1096000000,108.830758073436
2015-03-03,1.9157000000,108.849431250076
2015-03-04,1.3106000000,108.865872873344
2015-03-05,1.2147000000,108.880184851474
2015-03-07,2.2373000000,108.895838343394
2015-03-08,1.3644000000,108.910696091578
2015-03-09,1.7376000000,108.892582349766
2015-03-10,1.1395000000,108.909345642083
2015-03-11,1.1380000000,108.926103315753
2015-03-12,1.1330000000,108.943889607797
2015-03-14,2.2707000000,109.008954328102
2015-03-15,1.1095000000,109.021048871585
2015-03-16,1.0640000000,109.051178135860
2015-03-17,1.7021000000,109.079555016385
2015-03-18,1.2661000000,109.067193732353
2015-03-19,1.0910000000,109.080182882433
2015-03-21,2.1767000000,109.111557461247
2015-03-22,1.0945000000,109.123499721211
2015-03-23,1.0646000000,109.111120064141
2015-03-24,1.2070000000,109.126470823303
2015-03-25,1.0829000000,109.147021586961
2015-03-26,1.2886000000,109.162177054281
2015-03-28,2.1328000000,109.197460325764
2015-03-29,1.2049000000,109.210617527759
2015-03-30,1.1020000000,109.186624084047
2015-03-31,1.1079000000,109.195446708042
2015-04-01,1.1098000000,109.218488635689
2015-04-02,1.0772000000,109.242261537963
2015-04-05,3.2125000000,109.295935890573
2015-04-06,1.0626000000,109.307549676721
2015-04-07,1.4266000000,109.295820601759
2015-04-08,1.0038000000,109.307884074448
2015-04-09,1.0025000000,109.316657254373
2015-04-11,2.0055000000,109.317802978141
2015-04-12,1.1735000000,109.330631422322
2015-04-13,1.0543000000,109.314818208247
2015-04-14,1.0544000000,109.334004025052
2015-04-15,1.4528000000,109.392548072058
2015-04-16,1.0590000000,109.392097876173
2015-04-18,2.1260000000,109.465683094823
2015-04-19,1.3580000000,109.480548534587
2015-04-20,1.4524000000,109.504114858576
2015-04-21,2.8149000000,109.539315842964
2015-04-22,0.9338000000,109.529839412017
2015-04-23,0.9164000000,109.539876726502
2015-04-25,1.8432000000,109.563350832401
2015-04-26,0.9117000000,109.573339723097
2015-04-27,0.9076000000,109.558088150389
2015-04-28,1.3622000000,109.571917232942
2015-04-29,1.0524000000,109.584543616955
2015-05-02,2.7622000000,109.636736540609
2015-05-03,0.9340000000,109.646976611802
2015-05-04,0.9643000000,109.573142661414
2015-05-05,0.9644000000,109.593579122610
2015-05-06,0.9861000000,109.617543624618
2015-05-07,0.9691000000,109.651188206688
2015-05-09,1.9184000000,109.724868805183
2015-05-10,1.2205000000,109.738260725422
2015-05-11,0.9253000000,109.741828570825
2015-05-12,0.8694000000,109.751369525402
2015-05-13,0.8264000000,109.759342881480
2015-05-14,0.9216000000,109.781529253173
2015-05-16,1.6487000000,109.750248764147
2015-05-17,0.7871000000,109.758887206227
2015-05-18,0.7890000000,109.737912735971
2015-05-19,0.7642000000,109.740805354706
2015-05-20,0.7811000000,109.739503116978
2015-05-21,0.7912000000,109.777827077550
2015-05-23,1.4707000000,109.848865708563
2015-05-24,1.1425000000,109.861415941472
2015-05-25,0.7152000000,109.851703677516
2015-05-26,0.7097000000,109.818869997908
2015-05-27,0.7073000000,109.821140462441
2015-05-28,0.8029000000,109.797006729942
2015-05-30,1.4232000000,109.813731013224
2015-05-31,0.7209000000,109.821647485094
2015-06-01,0.7358000000,109.789072084233
2015-06-02,0.7658000000,109.788693992755
2015-06-03,0.8984000000,109.876579764852
2015-06-04,0.9706000000,109.921312255898
2015-06-06,1.4719000000,109.982558687358
2015-06-07,0.7054000000,109.990316857048
2015-06-08,0.8533000000,109.977718833070
2015-06-09,0.6397000000,109.964958467362
2015-06-10,0.6015000000,109.941886001468
2015-06-11,0.6023000000,109.948507801262
2015-06-13,1.1986000000,109.948497151775
2015-06-14,0.6417000000,109.955552546838
2015-06-15,0.6087000000,109.962245541321
2015-06-16,0.6383000000,109.967057445070
2015-06-17,0.6804000000,110.008645318226
2015-06-18,0.7069000000,110.008717287235
2015-06-21,2.1241000000,110.056294063740
2015-06-22,1.0878000000,110.068265987409
2015-06-23,0.7458000000,110.052260614510
2015-06-24,0.7640000000,110.090384566985
2015-06-25,0.8849000000,110.116635859471
2015-06-27,1.4570000000,110.126078492877
2015-06-28,0.8257000000,110.135171603179
2015-06-29,0.8068000000,110.126442407029
2015-06-30,0.7938000000,110.106554606153
2015-07-01,0.7905000000,110.127373318412
2015-07-02,0.7825000000,110.134890118550
2015-07-04,1.5676000000,110.146642263749
2015-07-05,0.8920000000,110.156467344238
2015-07-06,0.7388000000,110.200964541804
2015-07-07,0.7181000000,110.236413927412
2015-07-08,0.7849000000,110.205406933676
2015-07-09,0.6832000000,110.210733647840
2015-07-11,1.3530000000,110.238862063532
2015-07-12,0.6934000000,110.246506026228
2015-07-13,0.7989000000,110.234375323859
2015-07-14,0.7078000000,110.241076061986
2015-07-15,0.6313000000,110.253544183643
2015-07-16,0.6044000000,110.267928828094
2015-07-18,1.2070000000,110.283442007261
2015-07-19,0.9652000000,110.294086565083
2015-07-20,0.6645000000,110.291488297170
2015-07-21,0.5931000000,110.300242428877
2015-07-22,0.5806000000,110.298922443830
2015-07-23,0.5476000000,110.306064702203
2015-07-25,1.0545000000,110.324319325741
2015-07-26,0.6743000000,110.331758494593
2015-07-27,0.5536000000,110.322422470597
2015-07-28,0.5518000000,110.326296441413
2015-07-29,0.5540000000,110.331305855327
2015-07-30,0.6915000000,110.344457378770
2015-08-01,1.1105000000,110.372159612186
2015-08-02,0.5579000000,110.378317274971
2015-08-03,0.5526000000,110.381099408779
2015-08-04,0.5560000000,110.374000052882
2015-08-05,0.5637000000,110.380221835265
2015-08-06,0.5720000000,110.384320821413
2015-08-08,1.1188000000,110.407711982498
2015-08-09,0.6625000000,110.415026493416
2015-08-10,0.5547000000,110.405694794010
2015-08-11,0.6548000000,110.416234660907
2015-08-12,0.5778000000,110.425933628384
2015-08-13,0.9341000000,110.431825419855
2015-08-15,1.1304000000,110.458666358808
2015-08-16,0.6543000000,110.465893669349
2015-08-17,0.6067000000,110.463764183416
2015-08-18,0.5697000000,110.471161298414
2015-08-19,0.5719000000,110.478583201620
2015-08-20,0.5723000000,110.482697649584
2015-08-22,1.1255000000,110.505070681711
2015-08-23,0.6215000000,110.511938571854
2015-08-24,0.7375000000,110.504618866588
2015-08-25,0.6080000000,110.510233085250
2015-08-26,0.6015000000,110.517984804368
2015-08-27,0.6137000000,110.522558100330
2015-08-29,1.2260000000,110.544954453470
2015-08-30,0.7136000000,110.552842941419
2015-08-31,0.6205000000,110.558597866131
2015-09-01,0.6170000000,110.570944068441
2015-09-05,2.5795000000,110.620473695677
2015-09-06,0.6130000000,110.627254730715
2015-09-07,0.6888000000,110.608337267569
2015-09-08,0.6260000000,110.611936574570
2015-09-09,0.5936000000,110.617396988040
2015-09-10,0.5912000000,110.627261857393
2015-09-12,1.1590000000,110.652246307415
2015-09-13,0.7684000000,110.660748826021
2015-09-14,0.5900000000,110.655113407586
2015-09-15,0.5777000000,110.662611872156
2015-09-16,0.5793000000,110.666810591794
2015-09-17,0.5799000000,110.672113670164
2015-09-19,1.1532000000,110.692628043328
2015-09-20,0.6464000000,110.699783214806
2015-09-21,0.6084000000,110.696552925437
2015-09-22,0.5921000000,110.706434850169
2015-09-23,0.6255000000,110.711138195631
2015-09-24,0.6488000000,110.712788535667
2015-09-26,1.2407000000,110.726524671341
2015-09-27,0.6692000000,110.733934490372
2015-09-28,0.6513000000,110.743360197818
2015-09-29,0.6617000000,110.755115591498
2015-10-06,4.6326000000,110.841885819375
2015-10-07,0.6760000000,110.849378730857
2015-10-08,0.6637000000,110.793572347701
2015-10-10,1.3173000000,110.834760042501
2015-10-11,0.6396000000,110.841849033753
2015-10-12,0.6374000000,110.827856964024
2015-10-13,0.7228000000,110.850278823067
2015-10-14,0.7393000000,110.862905931579
2015-10-15,0.6316000000,110.862151634906
2015-10-17,1.2638000000,110.889469215545
2015-10-18,0.6444000000,110.896614932942
2015-10-19,0.6273000000,110.895804652399
2015-10-20,0.6455000000,110.900746157903
2015-10-21,0.6214000000,110.908746008489
2015-10-22,0.6375000000,110.909165147733
2015-10-24,1.2410000000,110.931798466781
2015-10-25,0.6172000000,110.938645177382
2015-10-26,0.6323000000,110.939006877969
2015-10-27,0.6579000000,110.946305555232
2015-10-28,0.6525000000,110.955762742262
