date,signal_date,turnover,gross_decrease,us_decrease,factor_alignment,sale_top1,sale_top2,buy_top2,top1,top2,edge5,edge20,edge60
2014-09-19,2014-09-18,0.9121909857,0.02874455670000009,0.4572922140000001,0.05528007527499998,0.0,0.08922294270000003,0.4234152937,shanghai,shanghai|nasdaq,0.0013378677465994207,0.022445648216591275,0.10316784291417237
2014-09-22,2014-09-19,0.33841975980000005,0.010743277999999856,0.1745815189,0.017439236262500015,0.0,0.0,0.15704770450000005,shanghai,shanghai|nasdaq,0.002412793505731828,0.009633623427199832,0.04326467234595486
2014-12-10,2014-12-09,0.8955121653,0.8955121653,0.30314895989999996,-0.07538185837500003,0.022404428900000002,0.5405614554000001,0.0,csi300,csi300|shanghai,-0.02876356374252665,-0.07886390692384149,-0.08887349892618783
2014-12-31,2014-12-30,0.065,0.065,0.0,-0.024375,0.0026940283,0.065,0.0,csi300,csi300|shanghai,-0.0018341761282836318,-0.0011750944265726954,-0.009617987903312662
2015-03-05,2015-03-04,0.7073546823,-0.7073546823,-0.4661936283,0.05713180197500001,0.0,0.0,0.213233154,csi300,csi300|shanghai,-0.011034299560421552,0.01637229855264799,0.08291485608831252
2015-05-05,2015-05-04,0.2850639367999999,-0.2850639368,-0.23200850499999992,0.012312432674999997,0.0,0.0,0.04691129379999999,shanghai,shanghai|csi300,0.0004411691298168655,0.009347611622069959,-0.0038951414141985188
2015-05-28,2015-05-27,0.32163434729999996,0.3192746125,0.13495196769999995,-0.060430967674999995,0.0993798079,0.1855025122,0.0,csi300,csi300|shanghai,-0.015431054127083352,0.0008498033399510973,0.03829134088223628
2015-06-05,2015-06-04,0.28675934670000003,-0.28675934670000003,-0.26038482490000003,0.0031509234374999993,0.0,0.0,0.0179140645,csi300,csi300|shanghai,-0.0032041078853698437,-0.010747010160941024,-0.014335510475503159
2015-06-29,2015-06-26,0.28580393160000006,0.28580393160000006,0.2612309481,-0.06326033327500001,0.26025160290000005,0.26880644750000005,0.0,nasdaq,nasdaq|shanghai,-0.0037321668987520345,-0.005357058859540111,0.0010156299335467812
2015-07-22,2015-07-21,0.3086098251,0.30860982509999996,0.24147463019999998,-0.055790592325,0.2389679118,0.2631429305,0.0,nasdaq,nasdaq|shanghai,0.002205189525800343,-0.0015733040759100918,0.01650062126535531
